"ISSN","TIULO","ESTRATO"
"00063002","BIOCHIMICA ET BIOPHYSICA ACTA","A1"
"00063002","BIOCHIMICA ET BIOPHYSICA ACTA (PRINT) (CESSOU EM 1963. DESMEMBRADO EM 2: ISSN 0926-6526 BIOCHIMICA ET BIOPHYSICA ACTA. SPECIALIZED SECTION ON MUCOPROTEINS AND MUCOPOLYSACCHARIDES E ISSN 0304-4165 BIOCHIMICA ET BIOPHYSICA ACTA. G, GENERAL SUBJECTS (PRINT)","A1"
"00063088","BIOLOGIA (BRATISLAVA)","B1"
"00063134","BIOLOGIA PLANTARUM","B2"
"00063134","BIOLOGIA PLANTARUM (PRAHA)","A2"
"00063185","THE BIOLOGICAL BULLETIN (LANCASTER)","A2"
"00063207","BIOLOGICAL CONSERVATION","A1"
"00063223","BIOLOGICAL PSYCHIATRY (1969)","A1"
"0006324X","PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON","B3"
"00063363","BIOLOGY OF REPRODUCTION","A1"
"00063398","BIOMEDICAL ENGINEERING","B2"
"0006341X","BIOMETRICS (WASHINGTON)","A1"
"00063495","BIOPHYSICAL JOURNAL (PRINT)","A1"
"00063525","BIOPOLYMERS (NEW YORK)","B1"
"00063525","BIOPOLYMERS (NEW YORK. PRINT)","B1"
"0006355X","BIORHEOLOGY (OXFORD)","A2"
"00063568","BIOSCIENCE (WASHINGTON. PRINT)","A1"
"00063592","BIOTECHNOLOGY AND BIOENGINEERING (PRINT)","A1"
"00063606","BIOTROPICA (LAWRENCE, KS)","A1"
"00063835","BIT NUMERICAL MATHEMATICS","A2"
"00064971","BLOOD (PHILADELPHIA)","A1"
"00064971","BLOOD (PHILADELPHIA, PA)","A1"
"00065196","BLUMEA (LEIDEN)","B2"
"00065218","BLUMENAU EM CADERNOS","B4"
"00065471","DIE BODENKULTUR (WIEN)","B2"
"0006579X","BOIS ET FORÊTS DES TROPIQUES","B1"
"00065943","BOLETIM DE PSICOLOGIA","B2"
"00066079","BOLETIM PAULISTA DE GEOGRAFIA","B3"
"00066117","BOLETIM TÉCNICO DA PETROBRAS (IMPRESSO)","C "
"00066184","BOLETIN CULTURAL Y BIBLIOGRAFICO","C "
"00066729","BOLLETTINO DI GEOFISICA TEORICA ED APPLICATA","B1"
"00067377","BOOK BIRD","B2"
"00068055","BOTANICA MARINA (PRINT)","B1"
"00068101","THE BOTANICAL REVIEW","B1"
"00068241","BOTHALIA (PRETORIA)","B2"
"00068314","BOUNDARY - LAYER METEOROLOGY","A2"
"00068705","BRAGANTIA (S<U+F1C3>O PAULO)","B1"
"00068705","BRAGANTIA (S<U+F1C3>O PAULO, SP. IMPRESSO)","B1"
"00068950","BRAIN (LONDON. PRINT)","A1"
"00068977","BRAIN, BEHAVIOR AND EVOLUTION","A2"
"00068993","BRAIN RESEARCH","A2"
"00069248","BRATISLAVA MEDICAL JOURNAL","B2"
"00070610","BRITISH DENTAL JOURNAL","B2"
"0007070X","BRITISH FOOD JOURNAL (1966)","A2"
"0007084X","JBIS. JOURNAL OF THE BRITISH INTERPLANETARY SOCIETY","B3"
"00070912","BRITISH JOURNAL OF ANAESTHESIA","A1"
"00070920","BRITISH JOURNAL OF CANCER","A1"
"00070963","BRITISH JOURNAL OF DERMATOLOGY","A1"
"00070963","BRITISH JOURNAL OF DERMATOLOGY (1951. PRINT)","A1"
"00070998","BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY","A1"
"00071013","BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY (PRINT)","A1"
"00071048","BRITISH JOURNAL OF HAEMATOLOGY","A1"
"00071048","BRITISH JOURNAL OF HAEMATOLOGY (PRINT)","A1"
"00071102","BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY","A2"
"00071145","BRITISH JOURNAL OF NUTRITION","A1"
"00071161","BRITISH JOURNAL OF OPHTHALMOLOGY","A1"
"00071188","BRITISH JOURNAL OF PHARMACOLOGY","A1"
"00071234","BRITISH JOURNAL OF POLITICAL SCIENCE (PRINT)","A1"
"00071250","BRITISH JOURNAL OF PSYCHIATRY","A1"
"00071250","BRITISH JOURNAL OF PSYCHIATRY (PRINT)","A1"
"00071269","BRITISH JOURNAL OF PSYCHOLOGY (1953)","A1"
"00071285","BRITISH JOURNAL OF RADIOLOGY","A2"
"00071323","BRITISH JOURNAL OF SURGERY (PRINT)","A1"
"00071595","BULLETIN OF THE BRITISH ORNITHOLOGISTS' CLUB","B1"
"00071668","BRITISH POULTRY SCIENCE (PRINT)","A2"
"00071773","JOURNAL OF THE BRITISH SOCIETY FOR PHENOMENOLOGY","B5"
"0007196X","BRITTONIA (BRONX)","B2"
"0007196X","BRITTONIA (BRONX, N.Y.)","B2"
"00072745","THE BRYOLOGIST (COLLEGE STATION, TX)","B1"
"00074403","BULLETIN DE PSYCHOLOGIE","B1"
"00074497","BULLETIN DES SCIENCES MATHÉMATIQUES","A2"
"00074497","BULLETIN DES SCIENCES MATHÉMATIQUES (PARIS. 1885)","A2"
"00074624","BULLETIN FOR INTERNATIONAL TAXATION","B3"
"00074853","BULLETIN OF ENTOMOLOGICAL RESEARCH","A2"
"00074861","BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","A2"
"00074888","BULLETIN OF EXPERIMENTAL BIOLOGY AND MEDICINE","B5"
"00074977","BULLETIN OF MARINE SCIENCE","A2"
"00075140","BULLETIN OF THE HISTORY OF MEDICINE","A1"
"00075167","BULLETIN OF ZOOLOGICAL NOMENCLATURE","C "
"00075922","MITTEILUNGEN KLOSTERNEUBURG","B5"
